"ASVID","nahant_unf_d0_1080","nahant_unf_d1_1083","nahant_unf_d2_1086","nahant_unf_d3_1089","nahant_unf_d4_1092","nahant_unf_d5_1095","nahant_unf_d6_1098","nahant_unf_d7_1101","nahant_unf_d8_1104","nahant_unf_d9_1107","nahant_unf_d10_1110","nahant_unf_d11_1113","nahant_unf_d12_1116","nahant_unf_d13_1119","nahant_unf_d14_1122","nahant_unf_d15_1125","nahant_unf_d16_1128","nahant_unf_d17_1131","nahant_unf_d18_1134","nahant_unf_d19_1137","nahant_unf_d20_1140","nahant_unf_d21_1143","nahant_unf_d22_1146","nahant_unf_d23_1149","nahant_unf_d24_1152","nahant_unf_d25_1155","nahant_unf_d26_1158","nahant_unf_d27_1161","nahant_unf_d28_1164","nahant_unf_d29_1167","nahant_unf_d30_1170","nahant_unf_d31_1173","nahant_unf_d32_1176","nahant_unf_d33_1180","nahant_unf_d34_1182","nahant_unf_d35_1185","nahant_unf_d36_1188","nahant_unf_d37_1191","nahant_unf_d38_1194","nahant_unf_d39_1197","nahant_unf_d40_1200","nahant_unf_d41_1203","nahant_unf_d42_1206","nahant_unf_d43_1209","nahant_unf_d44_1212","nahant_unf_d45_1215","nahant_unf_d46_1218","nahant_unf_d47_1221","nahant_unf_d48_1224","nahant_unf_d49_1227","nahant_unf_d50_1230","nahant_unf_d51_1233","nahant_unf_d52_1236","nahant_unf_d53_1239","nahant_unf_d54_1242","nahant_unf_d55_1245","nahant_unf_d56_1248","nahant_unf_d57_1251","nahant_unf_d58_1254","nahant_unf_d59_1257","nahant_unf_d60_1260","nahant_unf_d61_1263","nahant_unf_d62_1266","nahant_unf_d63_1269","nahant_unf_d64_1272","nahant_unf_d65_1275","nahant_unf_d66_1278","nahant_unf_d67_1281","nahant_unf_d68_1284","nahant_unf_d69_1287","nahant_unf_d70_1290","nahant_unf_d71_1293","nahant_unf_d72_1296","nahant_unf_d73_1301","nahant_unf_d75_1304","nahant_unf_d76_1307","nahant_unf_d77_1310","nahant_unf_d78_1313","nahant_unf_d79_1316","nahant_unf_d81_1322","nahant_unf_d82_1325","nahant_unf_d83_1328","nahant_unf_d85_1334","nahant_unf_d86_1337","nahant_unf_d87_1340","nahant_unf_d88_1343","nahant_unf_d89_1346","nahant_unf_d90_1349","nahant_unf_d91_1352","nahant_unf_d92_1355"
"OTU_123",19,13,33,43,24,97,25,56,39,57,74,27,13,20,16,12,6,14,10,10,30,92,43,26,34,22,36,28,31,44,56,23,14,28,15,19,19,22,3,4,8,39,11,29,7,25,10,1,7,4,29,20,26,74,24,33,27,17,13,14,10,23,11,1,4,3,0,1,0,0,0,0,3,5,1,4,1,4,0,1,1,2,0,0,2,3,0,1,2,3
"OTU_67",9,22,42,58,12,50,12,26,13,45,35,19,11,9,14,5,3,25,17,12,28,39,34,5,6,9,18,30,71,56,51,43,23,24,23,38,57,13,15,12,13,147,18,24,3,4,28,5,10,7,9,10,14,12,7,29,18,14,1,30,9,15,11,51,24,6,3,6,11,7,4,5,9,2,2,2,4,2,1,1,0,3,1,2,1,1,1,0,2,1
"OTU_51",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,9,17,39,13,15,4,5,12,18,9,22,23,26,29,4,7,3,21,19,24,9,32,13,53,15,15,53,16,15,5,12,8,2,8,17,86,81,35,26,18,8,37,50,32,33,27,38,40,24,54,71,29,38,68,45,63,50
"OTU_94",31,29,60,34,76,63,47,55,54,5,20,32,102,66,70,86,57,49,38,11,53,5,20,20,16,13,19,80,46,32,23,7,13,3,5,7,13,6,3,1,2,1,5,2,14,22,5,2,5,1,14,3,4,2,3,4,7,5,3,6,5,11,2,2,2,1,0,0,0,1,1,0,0,0,2,5,10,4,9,3,2,5,2,7,10,12,10,4,9,13
"OTU_434",60,35,30,17,31,37,58,70,49,43,38,34,26,76,91,51,84,121,107,111,38,53,57,26,16,33,38,58,38,21,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
"OTU_179",10,12,1,3,13,16,14,9,21,1,8,2,25,26,10,18,10,6,11,5,2,10,6,13,9,8,17,6,6,4,2,7,13,8,10,11,8,10,2,7,7,6,19,17,20,46,21,11,8,7,23,10,19,20,13,10,25,11,6,22,11,48,21,12,32,7,7,21,43,37,15,16,20,30,29,35,51,45,37,18,23,32,21,24,37,41,39,31,47,49
"OTU_92",20,44,24,25,40,33,32,20,37,11,28,20,31,25,22,10,16,33,30,31,28,31,37,12,6,9,24,31,39,15,30,16,6,8,3,6,2,3,1,3,2,7,7,2,5,13,17,3,6,2,9,8,4,11,1,13,21,8,5,19,12,18,6,6,14,1,2,8,32,59,26,25,35,11,15,20,24,22,39,11,25,12,18,7,12,21,22,14,14,10
"OTU_119",113,47,41,35,50,50,67,61,46,28,27,34,36,59,97,58,68,89,83,73,14,61,49,12,8,14,11,10,8,10,16,0,0,4,1,2,3,0,1,3,1,1,1,1,2,1,5,1,0,2,2,1,0,4,1,3,1,1,3,3,0,1,3,3,2,2,0,3,2,8,2,0,2,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3
"OTU_64",6,35,32,33,21,21,21,16,9,14,20,12,7,5,3,8,8,4,6,5,13,35,12,25,45,28,25,23,20,63,52,23,18,22,28,46,24,9,3,9,3,13,7,26,2,22,17,0,2,4,30,10,27,5,12,1,7,10,4,4,6,2,4,3,19,5,1,17,27,22,15,9,8,0,17,15,17,15,10,9,27,33,16,29,9,19,16,20,20,26
"OTU_47",5,6,9,4,7,2,7,5,2,5,5,6,5,2,6,11,5,24,13,9,19,7,13,12,13,10,3,5,9,10,0,27,10,21,24,27,19,31,36,30,19,24,21,27,13,7,8,7,8,16,23,20,20,11,13,18,18,15,14,17,22,28,17,37,31,10,22,12,16,10,21,27,24,14,31,16,29,36,24,30,20,13,26,14,11,14,11,19,14,11
"OTU_15",0,2,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,87,12,40,11,16,12,1,7,31,6,23,8,50,7,26,3,2,1,4,1,11,7,57,11,37,35,40,7,22,11,1,5,1,2,3,6,4,1,42,19,9,1,3,10,33,5,49,18,17,12,34,83,50,36,88,95,52,71
"OTU_132",7,0,0,1,0,2,2,1,5,9,6,17,25,26,27,35,9,24,8,0,22,0,1,3,4,3,9,14,3,6,2,4,8,14,14,1,4,2,1,6,5,2,7,1,5,7,4,2,6,0,5,3,6,4,13,9,17,8,11,9,8,22,4,4,9,26,17,25,17,5,48,32,18,27,23,40,55,58,55,26,17,100,60,28,31,28,20,44,53,12
