"ID","N01B","N02B","N03B","N04B","N05B","N06B","N07B","N08B","N09B","N10B","N11B","N12B","N13B","N14B","N15B","N16B","N17B","N18B","N19B","N20B","N21B","N22B","N23B","N24B","N25B","N26B","N27B","N28B","N29B","N30B","N31B","N32B","N33B","N34B","N35B","N36B","N37B","N38B","N39B","N40B","N41B","N42B","N43B","N44B","N45B","N46B","N47B","N48B","N49B","N50B","N51B","N52B"
"f19a711776291576f4f21308edf2f26b",0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f23d1b5bad097d1c7d5418684fe9d2c2",0,1,10,4,15,18,17,13,7,0,0,30,34,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f32935fca98e91257b0afb72253c7370",0,0,4,0,0,0,0,5,4,0,4,4,6,7,2,2,0,11,18,10,11,9,7,3,5,14,6,5,5,2,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"f34cdcd73e535507d29c29b19d01f658",29,16,40,45,37,115,113,91,74,37,0,19,0,30,0,0,71,86,90,48,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
"f3a044add9ffd5ad7486eac37e14e92f",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,16,0,0,0,0,0,0,26,0,0,15,7
"f3adc35cb1fc524f48eba2a0ea2c2b07",145,55,191,338,195,230,177,195,167,113,105,175,149,131,273,138,102,119,133,95,95,152,76,204,73,69,97,81,101,132,206,300,143,198,160,123,128,189,177,174,261,261,207,307,432,162,214,614,677,147,89,111
"f3b636bf0ee6bdd8c4991a773a0f8b79",0,0,0,0,0,0,0,0,0,1,0,0,3,3,8,9,9,7,5,7,6,5,10,2,7,7,4,15,9,17,10,20,17,23,21,23,20,20,25,31,24,15,8,18,10,23,5,3,9,16,3,5
"f3edc7b1bf3e91fc3e1ff96ff1dab2aa",0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,11,4,6,7,10,2,0,0,0,3,10,0,1,0,0,0,7,4,3,0,3,0,0,0,0,0,0,0,0,0
"f4587366422d3691953a9d4c99913c90",22,5,16,19,11,12,16,17,48,27,37,26,15,15,25,29,12,13,19,19,15,31,28,16,21,13,20,17,16,19,21,29,23,18,21,15,5,24,11,16,6,13,7,12,12,11,9,35,26,54,42,48
"f467dbb9d41436de919e5ca26585cbeb",0,0,10,0,0,0,0,0,7,19,0,15,17,6,0,10,0,0,0,0,15,0,12,12,11,19,21,27,17,11,10,24,13,10,22,17,11,0,7,0,0,0,0,0,10,12,0,9,0,0,0,0
"f467f8787adbb3e5fc9f1bc590118e1d",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f47beff0fc3748fcf424bf33bc490cf2",0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,4,5,0,0,5,7,6,9,3,0,4,2,3,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0
"f5cf60c4199f1fe982c982e95bd42d52",5,2,1,4,1,0,1,1,1,0,4,6,4,9,8,8,5,18,10,12,12,8,17,30,29,30,28,24,27,20,15,11,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5d700a1e7e58a519144ae8031b801e1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,6,0,3,8,11,11,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,82,12,31,8,6,9,0,0,0
"f5df6efeeb60495d9706498eb5b198ad",0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,3,2,4,0,6,6,4,1,2,1,0,2,0,2,7,2,0,0,0,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0
"f5ed2b4f5e0dfba67420c0edd21f98cb",0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5f5e0da89730462abaf6301a9557193",8,0,11,10,0,5,17,0,0,0,0,0,8,0,12,0,0,16,0,0,11,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,19,0,0,7,17,11,0,2,14,13,4,9,10,0,14,0
"f65c2de38d25ff865c7cec96b1692351",0,0,0,0,0,0,15,13,25,28,42,27,24,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
