"ID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_310",132,17,36,35,26,15,21,20,14,25,11,39,10,70,12,1,6,6,2,17,22,10,0,1,3,0,10,1,0,0,0,8,12,3,8,33,1,9,3,8,3,0,1,1,2,3,1,6,1,4,2,6,0
"OTU_19729",3,1,2,1,1,0,3,2,6,4,3,1,3,1,0,1,3,0,4,0,0,1,2,3,3,0,3,0,0,1,2,3,2,0,0,0,1,2,0,1,2,0,0,0,3,0,0,1,0,0,0,2,1
"OTU_316",2,0,0,0,1,0,0,0,5,1,1,0,1,0,0,0,1,2,2,0,0,1,1,5,2,40,4,4,5,10,6,8,2,0,4,0,22,1,38,1,2,7,1,0,7,3,11,5,2,12,0,7,2
"OTU_3380",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,5,2,2,1,1,0,1,1,0,1,0,1,3,0,1,0,1,0,2,0,2,1,1,0,0
"OTU_6663",0,3,0,1,1,1,1,2,1,0,0,0,0,0,0,1,1,0,0,3,0,2,1,0,1,0,0,0,0,2,2,1,2,0,1,0,0,0,2,0,2,0,0,0,1,0,1,0,1,2,0,1,0
"OTU_55",0,1,2,3,2,1,2,0,0,3,3,0,1,8,1,0,0,0,0,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,2,0,0,2,0,0,1,0,1,0,0,2,0,3
"OTU_648",4,1,0,1,0,3,0,1,3,2,0,2,0,2,1,2,3,2,9,3,0,3,1,1,0,0,1,1,0,2,0,0,0,1,4,0,0,0,2,7,1,1,1,1,2,1,3,1,6,3,1,0,0
"OTU_16138",3,1,4,1,3,1,1,2,1,4,1,2,0,0,0,1,2,2,0,0,0,3,2,1,1,0,0,2,1,1,1,1,1,0,2,0,0,2,1,3,1,8,0,0,1,0,1,2,1,1,1,1,0
"OTU_549",1,5,16,14,4,5,8,4,5,21,11,8,4,5,3,4,5,6,2,9,11,6,6,1,5,2,0,2,7,9,1,6,2,90,8,1,3,2,2,1,1,3,9,5,1,1,2,1,3,5,7,9,7
"OTU_10923",0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,4,3,6,3,1,5,17,2,8,4,0,1,2,1,5,3,2,0,1,1
