"ASVID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_40",8,17,22,19,13,13,14,16,16,35,17,6,12,0,8,7,14,13,6,11,22,9,11,2,3,5,3,7,10,10,1,13,4,141,28,3,6,2,2,5,2,13,19,10,7,10,5,5,3,14,5,28,14
"OTU_310",132,17,36,35,26,15,21,20,14,25,11,39,10,70,12,1,6,6,2,17,22,10,0,1,3,0,10,1,0,0,0,8,12,3,8,33,1,9,3,8,3,0,1,1,2,3,1,6,1,4,2,6,0
"OTU_290",19,18,21,5,23,20,26,21,26,29,31,23,13,2,7,21,31,20,6,10,13,23,41,9,12,10,5,16,1,23,3,5,5,1,5,0,0,6,1,8,16,15,2,1,3,7,13,11,1,12,6,1,2
"OTU_458",15,24,83,5,13,8,8,21,6,8,7,1,11,15,8,15,4,10,1,24,42,4,1,3,10,7,5,8,19,6,18,19,10,0,18,8,19,12,22,12,20,2,5,5,8,1,1,8,5,2,15,16,7
"OTU_272",2,3,1,0,2,13,0,5,5,2,2,2,10,5,5,5,18,37,28,6,0,0,0,11,7,1,2,2,0,0,1,3,5,9,23,29,4,11,10,18,10,31,31,32,15,35,20,30,2,35,29,13,38
"OTU_1180",23,6,18,7,14,15,17,18,17,32,16,21,10,2,6,13,36,11,16,6,16,14,34,14,19,11,13,15,15,12,6,3,1,4,8,2,1,6,3,7,10,33,3,0,3,7,9,6,1,11,13,1,2
"OTU_510",25,2,0,9,3,3,2,5,4,3,3,6,2,8,2,1,2,2,0,7,5,7,6,26,20,14,10,10,12,6,36,31,7,9,11,7,36,20,24,6,10,21,19,18,20,50,4,24,9,7,3,16,13
"OTU_75",14,9,6,3,21,14,6,4,9,12,2,7,4,4,9,3,5,2,8,4,8,17,5,9,15,6,31,4,4,1,3,3,4,32,8,30,2,5,3,16,1,8,16,20,9,17,15,56,55,14,27,2,8
"OTU_155",0,10,5,2,6,13,33,26,26,6,18,49,0,5,14,33,0,0,0,0,8,7,36,29,90,0,0,1,4,2,0,0,7,2,0,0,4,0,7,10,6,18,4,1,3,7,18,15,16,28,6,3,17
"OTU_80",13,2,21,9,8,6,9,10,8,9,8,14,13,33,18,5,13,16,3,11,20,4,2,10,12,5,12,6,4,14,13,12,9,5,28,41,5,5,3,10,6,15,14,5,10,17,12,11,5,10,20,7,5
"OTU_707",4,7,11,22,15,26,19,10,12,9,15,22,34,19,11,13,24,5,4,15,17,15,22,15,23,2,26,16,6,11,11,7,11,0,2,6,4,5,9,4,12,7,4,3,8,2,6,3,2,4,5,6,8
"OTU_686",0,4,4,0,3,7,4,6,4,0,1,3,4,3,1,5,3,21,22,4,0,0,0,4,6,5,4,4,0,0,0,1,6,12,23,33,3,8,13,23,15,21,37,30,7,38,29,43,0,31,42,7,28
"OTU_726",2,31,4,6,4,8,5,10,1,8,1,6,15,10,9,6,7,41,0,6,21,6,4,9,8,10,0,10,28,20,52,11,3,10,0,11,21,3,18,23,7,8,5,4,15,10,16,8,3,4,8,19,12
"OTU_360",9,6,18,7,17,14,25,25,9,17,3,28,18,5,20,41,16,7,9,15,9,24,6,3,15,17,7,16,17,13,10,10,4,0,6,3,2,3,13,3,7,1,5,4,8,2,2,0,0,3,9,14,6
"OTU_6999",17,18,16,5,28,4,15,17,12,14,30,16,5,8,3,6,16,20,9,4,17,10,10,10,9,4,1,18,7,19,6,15,1,10,14,2,5,12,4,11,8,20,11,3,2,8,18,5,0,15,5,4,1
