"ID","UK01A","UK02A","UK03A","UK04A","UK05A","UK06A","UK08A","UK09A","UK10A","UK11A","UK12A","UK13A","UK14A","UK15A","UK16A","UK17A","UK18A","UK19A","UK20A","UK21A","UK22A","UK23A","UK24A","UK25A","UK26A","UK27A","UK28A","UK29A","UK30A","UK31A","UK32A","UK33A","UK34A","UK35A","UK36A","UK37A","UK38A","UK39A","UK40A","UK41A","UK42A","UK43A","UK44A","UK45A","UK46A","UK47A","UK48A","UK49A","UK50A","UK51A","UK52A"
"6d1d55869c5b78e9862457d11a2ce607",0,4,0,0,0,0,0,0,6,5,15,20,8,16,12,6,17,19,24,40,105,119,176,199,119,52,36,38,23,22,48,51,54,14,7,8,4,4,17,26,27,27,22,10,10,21,22,14,6,7,6
"6dbb4c4c55e45fe2eee407a215a49621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,10,12,0,8,0
"6dd04782784c5004f15cc67505bcdafa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,23,26,27,0,7,0,0,0,0,0,0,0,0,0,0,0
"6dfb118aa8b73ede1bdb71dedc23838c",0,0,7,0,10,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,0,5,10,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"6e35a55b3c00d52898de19884bb23bdb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,1,6,0,0,0,0,0
"6e6f306a337ba255a7f4a7f8469ff691",0,4,0,0,0,8,2,3,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
"6e837355053769f6c48d3366ee9ae064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,8,12,10,6,0,0,0,0,0,0,0,0
"6e94f695f7063d289efb164837dd0927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,3,5,4,5,6,6,14,10,0,4,5,1,1,5,4,5,4,2,0,2,0,0,0,0,0,0
"6ed9f4dbf822a554ddb55f5aaa4dbeba",16,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,27,33,42,15,8,14,0
"6ee9af06f7effb48c8907e7a74f4e8a2",0,0,0,4,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
